Name,Phone Number,Category,Product,Customer Review (Score),Detailed Review (Product),Email,State,Address,Customer Review (Site),Most Bought,Most Searched,Churning Score
Divyansh Manne,8816568179,Beauty,Perfume,2.2,"Works well, but could be improved in durability.",boraaarna@gmail.com,Punjab,"H.No. 995
Ramaswamy Ganj
Mathura 785958",3.6,Perfume,Face Cream,35
Kavya Gaba,1712969269,Books,Fiction,3.8,Not as described. Disappointed with the quality.,ritvik59@hotmail.com,Karnataka,"H.No. 53, Bali Chowk
Dhule-802734",1.2,Non-fiction,Educational,63
Samaira Shenoy,06873259395,Home Appliances,Microwave,2.4,Loved it! Exactly what I was looking for.,ramakrishnansamiha@dhar-krishnamurthy.com,Tamil Nadu,"20/562, Devi Marg
Bidar-833269",1.7,Refrigerator,Refrigerator,38
Ira Krishna,9.15061E+11,Electronics,Headphones,3.1,Poor customer service. The product was damaged on arrival.,nishithrana@hotmail.com,Jharkhand,"04/94
Sheth Chowk
Ambarnath 101268",2.9,Laptop,Smartphone,83
Stuvan Saraf,9.1637E+11,Clothing,Jacket,3.2,Poor customer service. The product was damaged on arrival.,manjari76@mani.com,Odisha,"39, Sankar Ganj
Haridwar 190649",2.6,Jeans,Jacket,40
Renee Walia,9.12147E+11,Clothing,Jacket,2.7,Superb performance! Exceeded my expectations.,sharafaniruddh@hotmail.com,Telangana,"26, Desai Circle
Anand 103586",4.5,Saree,Jacket,2
Onkar Tak,08724704037,Books,Non-fiction,2,Amazing features at this price! Highly recommended.,ramadhanush@gmail.com,Tripura,"89/726
Baria Marg, Aurangabad 896052",4.8,Non-fiction,Comics,99
Vidur Sama,9.17783E+11,Sports,Cricket Bat,4.4,Loved it! Exactly what I was looking for.,siya98@dhar-grewal.com,Mizoram,"30, Tailor Circle
Sri Ganganagar-909330",2.8,Football,Yoga Mat,61
Neysa Sibal,9.18853E+11,Electronics,Tablet,4.2,"The product is decent, but delivery took too long.",aarush90@tata.biz,Nagaland,"H.No. 890
Bassi Path, Bareilly-952136",3.6,Tablet,Tablet,4
Dhruv Rajagopal,8280951845,Sports,Badminton Racket,2.8,Poor customer service. The product was damaged on arrival.,reyanshbadami@gmail.com,Gujarat,"77/87, Dutta Street, Kavali-903745",3.3,Cricket Bat,Football,24
Vivaan Din,00547324713,Sports,Yoga Mat,4.4,Great value for money. Will buy again.,manikya44@subramaniam-cheema.com,Karnataka,"38/39, Chad Zila
Hyderabad 259262",1.2,Football,Yoga Mat,33
Hansh Ganesh,2578590565,Clothing,T-shirt,4.7,Average product. Expected better quality.,aarnabalay@swamy.com,Uttar Pradesh,"525, Bajwa Marg
Jabalpur-614494",3,Shoes,Shoes,36
Tushar Mangat,03149704679,Beauty,Lipstick,2.8,Loved it! Exactly what I was looking for.,aniruddhsangha@din.net,Haryana,"95, Venkatesh Marg, Ajmer 623910",2.3,Foundation,Perfume,64
Tushar Shroff,09039313837,Clothing,Jeans,2.3,"Works well, but could be improved in durability.",inaaya-74@yahoo.com,Himachal Pradesh,"H.No. 307
Ganesan, Pimpri-Chinchwad-004328",4.8,T-shirt,Jeans,54
Dhanush Dayal,1321762825,Beauty,Perfume,2.8,Amazing features at this price! Highly recommended.,neelofargoel@gmail.com,Odisha,"28
Gade Chowk, Salem-661561",2.9,Perfume,Perfume,81
Anaya Kaur,9.13129E+11,Clothing,Shoes,4.2,Average product. Expected better quality.,taimur36@uppal-ratti.com,Maharashtra,"H.No. 28
Biswas Road, Singrauli 967141",3.6,Shoes,Jeans,36
Amani Dixit,2583009955,Books,Non-fiction,2.3,Great value for money. Will buy again.,jchawla@sen.com,Karnataka,"H.No. 536
Raman Chowk
Jaunpur 995291",1.1,Fiction,Educational,56
Nayantara Aurora,9.18251E+11,Home Appliances,Microwave,3.7,Average product. Expected better quality.,kademohanlal@vaidya-kala.com,Gujarat,"715, Chandra Marg, Dehri 047367",3,Washing Machine,Refrigerator,32
Eshani Sur,9.11728E+11,Beauty,Lipstick,4.6,Poor customer service. The product was damaged on arrival.,dhanuk56@kulkarni.biz,Andhra Pradesh,"87/100, Mander Zila, Kozhikode-588964",2.3,Face Cream,Lipstick,83
Ela Khurana,9.15934E+11,Clothing,Jacket,1,Amazing features at this price! Highly recommended.,kalemanjari@manda.com,Kerala,"78/82, Sehgal, Thane 429621",4.1,Jacket,T-shirt,92
Adah Deshmukh,07528763382,Beauty,Face Cream,4.2,Poor customer service. The product was damaged on arrival.,kharetanya@gmail.com,Tamil Nadu,"H.No. 42, Dutta Marg, Karnal 645921",3.6,Face Cream,Face Cream,22
Pari Gupta,1622142905,Beauty,Perfume,3.2,Superb performance! Exceeded my expectations.,rwason@kulkarni-sarna.org,Uttarakhand,"H.No. 700
Desai Nagar, New Delhi-781522",2.7,Foundation,Foundation,72
Samiha Kalita,04283494203,Books,Fiction,4.5,"Works well, but could be improved in durability.",jivindayal@wason.org,Uttarakhand,"340, Kumar Street
Gorakhpur-635535",4.3,Non-fiction,Non-fiction,42
Stuvan Rout,07085650366,Electronics,Smartphone,4.7,Not as described. Disappointed with the quality.,nkohli@yahoo.com,Maharashtra,"84/60, Bakshi, Alappuzha-713309",3.5,Laptop,Smartphone,83
Elakshi Varughese,9.14132E+11,Books,Non-fiction,4.2,Poor customer service. The product was damaged on arrival.,navyakalita@keer.com,Haryana,"965
Vohra Ganj
Gurgaon-389396",4.5,Comics,Fiction,35
Mohanlal Bahri,2753355738,Clothing,Saree,1.8,Amazing features at this price! Highly recommended.,faiyaz64@yahoo.com,Jharkhand,"304, Lall Circle
Kolhapur-553326",3,Shoes,Jacket,38
Vaibhav Konda,4598173486,Home Appliances,Washing Machine,4.2,Superb performance! Exceeded my expectations.,taradhar@yahoo.com,Rajasthan,"02/976, Taneja
Tiruvottiyur 656328",2.3,Washing Machine,Washing Machine,35
Ayesha Chad,0212631458,Sports,Cricket Bat,2.2,Excellent quality! Very satisfied with the purchase.,bsani@singhal.com,Assam,"83/577, Goda Circle
Bhavnagar 895396",4.6,Yoga Mat,Football,19
Aarush Dhar,4043731678,Clothing,Jacket,2.2,Not as described. Disappointed with the quality.,wganesh@master.com,Odisha,"60/367, Sahota Street
Kulti-014208",2.2,T-shirt,Jeans,8
Vaibhav Vohra,4151912663,Home Appliances,Refrigerator,2.6,Not as described. Disappointed with the quality.,sahilwason@hotmail.com,Punjab,"H.No. 209, Manda Street
Asansol-256908",1.9,Refrigerator,Washing Machine,42
Trisha Sane,01089804383,Home Appliances,Washing Machine,1.8,"Works well, but could be improved in durability.",eshanidutt@gmail.com,Meghalaya,"21/64, Bhalla
Sonipat 895759",3.7,Refrigerator,Refrigerator,57
Alia Tandon,4049681060,Books,Educational,3.6,Great value for money. Will buy again.,fdeshpande@yahoo.com,Madhya Pradesh,"H.No. 98
Badami Ganj, Kamarhati 626097",1.9,Educational,Non-fiction,78
Drishya Wali,3815821976,Clothing,Saree,1.9,Great value for money. Will buy again.,oorjamagar@hotmail.com,Goa,"89/400
Warrior Nagar
Kolhapur-777364",3,Jacket,Shoes,86
Kartik Mangal,00646143230,Sports,Cricket Bat,4,"Works well, but could be improved in durability.",tejastripathi@yahoo.com,Manipur,"33/169
Seshadri Circle, Vijayanagaram 217781",4.5,Cricket Bat,Cricket Bat,12
Hansh Arya,9.10782E+11,Clothing,Jeans,4,Amazing features at this price! Highly recommended.,himmatsahota@gmail.com,Karnataka,"H.No. 303, Suresh Ganj
Thiruvananthapuram-933458",1.5,Shoes,Saree,72
Nakul Singhal,9.16244E+11,Home Appliances,Washing Machine,3.3,Superb performance! Exceeded my expectations.,vidurdugar@sankar.net,West Bengal,"H.No. 634, Hora Street
Motihari 608147",3.4,Refrigerator,Refrigerator,75
Ryan Bala,9.14344E+11,Books,Educational,3.1,"The product is decent, but delivery took too long.",bahrinayantara@chawla.com,Mizoram,"H.No. 555, Dhar Ganj
Srinagar-992445",3,Non-fiction,Educational,90
Tarini Garg,9.17995E+11,Books,Comics,3.3,Poor customer service. The product was damaged on arrival.,wbhakta@sathe-ranganathan.net,Jharkhand,"84
Dua Circle, Berhampur 541664",2.2,Non-fiction,Educational,34
Rasha Luthra,9.11642E+11,Electronics,Tablet,1.7,Average product. Expected better quality.,manikya34@kapoor-thaman.com,Gujarat,"01/035, Deshmukh Road, Aurangabad-878038",4.7,Tablet,Smartphone,6
Anika Agrawal,9363636897,Beauty,Foundation,4.7,"The product is decent, but delivery took too long.",riaan26@tara.com,Tripura,"873
Devi Ganj
Yamunanagar 848282",2.2,Perfume,Lipstick,10
Neelofar Sachar,00220815672,Electronics,Laptop,3.5,Great value for money. Will buy again.,gatik16@kakar-karpe.com,Madhya Pradesh,"704
Yogi Path
Rajahmundry-885983",4.3,Tablet,Smartwatch,3
Rohan Arya,07104261700,Books,Educational,4.2,Not as described. Disappointed with the quality.,ntella@gmail.com,Uttar Pradesh,"79/52
Sarma Road, Anand 307234",3.9,Comics,Educational,84
Akarsh Lal,04226038949,Sports,Yoga Mat,3.1,Poor customer service. The product was damaged on arrival.,jivinsarkar@yahoo.com,Kerala,"34/14, D’Alia Marg, Kishanganj-828699",5,Cricket Bat,Badminton Racket,2
Jiya Sama,9.17866E+11,Books,Non-fiction,1.7,Loved it! Exactly what I was looking for.,issachansh@iyer.com,Tripura,"H.No. 498, Sathe
Jaunpur 567389",3.3,Fiction,Fiction,24
Jayant Sachdeva,6664204934,Sports,Yoga Mat,3.3,Not as described. Disappointed with the quality.,srinivasanjivika@hotmail.com,Haryana,"807
Bose Street
Nagercoil 746389",1.8,Cricket Bat,Badminton Racket,80
Nirvaan Chadha,5465431462,Books,Fiction,2.2,Great value for money. Will buy again.,chandrakashvi@maharaj-guha.net,Uttar Pradesh,"595, Sodhi Chowk, Bhiwandi 797958",3.8,Comics,Non-fiction,54
Aarush Rege,00512668757,Beauty,Foundation,2.5,Great value for money. Will buy again.,dewansamiha@thakkar.net,Bihar,"99/48
Loke Circle
Barasat 978983",4.1,Foundation,Face Cream,77
Tejas Anne,08004995082,Books,Educational,4,Great value for money. Will buy again.,anayasoman@shankar-das.info,Haryana,"H.No. 180
Rama Road, Kishanganj 348075",1.9,Fiction,Educational,85
Jayant Doctor,4805247874,Home Appliances,Microwave,4.4,Average product. Expected better quality.,dswamy@gmail.com,Uttarakhand,"424
Thakkar Path
Bettiah 682586",3.2,Air Conditioner,Microwave,31
Heer Deshpande,00396455753,Sports,Football,1.6,Excellent quality! Very satisfied with the purchase.,regeyuvaan@saraf.org,Tripura,"44/029
Ramesh Marg, Kavali-501358",3.3,Football,Badminton Racket,50
Aaryahi Kakar,07763044581,Sports,Football,1.5,Average product. Expected better quality.,shalv61@hotmail.com,Meghalaya,"21/454
Sandhu Street, Surat-983490",2.4,Badminton Racket,Cricket Bat,80
Kabir Balasubramanian,9.18317E+11,Books,Fiction,1,Not as described. Disappointed with the quality.,raghav35@gmail.com,Chhattisgarh,"357
Bakshi Ganj, Mangalore-888375",1.9,Comics,Fiction,59
Vardaniya Ben,9.16902E+11,Clothing,Shoes,3,Superb performance! Exceeded my expectations.,uthkarshkarnik@magar-bhardwaj.biz,Nagaland,"H.No. 233, Ravi Street
Rampur-888769",2.5,T-shirt,Jacket,78
Tushar Arya,2536183687,Home Appliances,Air Conditioner,3,Amazing features at this price! Highly recommended.,romil08@guha.info,Tamil Nadu,"159, Bhatia Chowk, Parbhani 793869",1.2,Air Conditioner,Refrigerator,90
Lakshay Sachar,9.13431E+11,Beauty,Foundation,1.7,"Works well, but could be improved in durability.",reneearya@hotmail.com,Haryana,"H.No. 79, Sanghvi Street
Satara-655785",3.4,Perfume,Foundation,81
Hiran Chaudhuri,5041437860,Clothing,Shoes,1.8,Superb performance! Exceeded my expectations.,goyalfateh@hotmail.com,Nagaland,"H.No. 44
Tak Road, Madurai-632353",4.9,Saree,Saree,72
Prisha Kumer,00919086596,Electronics,Smartwatch,3.8,Not as described. Disappointed with the quality.,samiha26@hotmail.com,Chhattisgarh,"29, Anne Ganj, Bidar 846285",2.7,Tablet,Smartwatch,6
Anika Ghose,5540252871,Books,Non-fiction,4.3,"The product is decent, but delivery took too long.",wasonehsaan@hotmail.com,Punjab,"H.No. 312
Mani Chowk, Hubli–Dharwad 777223",3.8,Educational,Comics,65
Inaaya  Raman,03794725743,Home Appliances,Microwave,1.4,"Works well, but could be improved in durability.",sainimahika@gmail.com,Manipur,"639, Dhar Circle
Bharatpur 625415",3.3,Air Conditioner,Washing Machine,61
Umang Manda,03919028426,Books,Fiction,2.9,Poor customer service. The product was damaged on arrival.,ranganathanneysa@hotmail.com,Bihar,"68/481
Acharya Chowk, Bhusawal-227072",3.4,Fiction,Fiction,59
Rohan Mandal,2224508476,Clothing,Jacket,3.6,Loved it! Exactly what I was looking for.,aliaseth@gmail.com,Rajasthan,"369
Samra Nagar, Raichur-911804",2.7,Jacket,Saree,74
Romil Virk,3431014948,Home Appliances,Washing Machine,1.5,Superb performance! Exceeded my expectations.,amiradeo@hotmail.com,Jharkhand,"28/213, Rana Circle, Udaipur 020747",3.5,Microwave,Air Conditioner,31
Ehsaan Gill,01468231926,Clothing,T-shirt,1.6,Great value for money. Will buy again.,deshpandebhamini@halder.info,Karnataka,"04/08
Kale Marg
Burhanpur-285043",2.1,Saree,T-shirt,80
Lavanya Gole,9.11687E+11,Electronics,Smartphone,1.3,"Works well, but could be improved in durability.",rajukartik@hotmail.com,Jharkhand,"10, Dhar Circle
Kakinada-457402",1.8,Smartwatch,Tablet,85
Purab Venkatesh,4037979434,Electronics,Tablet,2.8,Great value for money. Will buy again.,chirag76@anne-vohra.biz,Odisha,"H.No. 893
Virk Path, Farrukhabad-526960",3.3,Laptop,Headphones,17
Jhanvi Boase,08613338314,Electronics,Tablet,4,Amazing features at this price! Highly recommended.,neelofarswaminathan@dubey.info,Goa,"27
Keer Circle
Panvel 931314",2.1,Smartwatch,Laptop,65
Hunar Chowdhury,9.13645E+11,Clothing,Saree,4,Amazing features at this price! Highly recommended.,soodmishti@sami-handa.biz,Rajasthan,"984
Rege Zila, North Dumdum 229393",2.7,T-shirt,Jeans,6
Raunak Gokhale,4589611203,Sports,Cricket Bat,4.4,Not as described. Disappointed with the quality.,aarna72@gmail.com,Karnataka,"297, Babu
Danapur 482774",3.8,Cricket Bat,Badminton Racket,46
Adah Deo,9.14921E+11,Books,Non-fiction,4.3,Not as described. Disappointed with the quality.,mamootydara@hotmail.com,Manipur,"91/151, Subramaniam Street
Chandigarh-407968",2,Educational,Comics,7
Inaaya  Chad,9.12806E+11,Home Appliances,Washing Machine,3.3,"The product is decent, but delivery took too long.",mkurian@seshadri.org,Arunachal Pradesh,"265
Sidhu Marg
Shimla 297698",1.6,Microwave,Microwave,38
Ivan Lala,03739673781,Electronics,Laptop,1.9,Amazing features at this price! Highly recommended.,shuklaromil@som-sandhu.com,Assam,"97/56, Sachdev Zila, Bulandshahr 721090",2.8,Tablet,Headphones,93
Himmat Kapadia,6989374317,Beauty,Foundation,4.8,Loved it! Exactly what I was looking for.,ysura@hotmail.com,Chhattisgarh,"11/826
Dyal
Nagercoil 087018",2.9,Foundation,Perfume,42
Nitya Sachar,4991215961,Electronics,Tablet,3,Average product. Expected better quality.,qraj@yahoo.com,Arunachal Pradesh,"99/18
Saraf Path
Bareilly 269435",2.8,Smartwatch,Smartwatch,58
Badal Bassi,06666252132,Electronics,Smartphone,3.9,Not as described. Disappointed with the quality.,chowdhurydhanush@toor.com,Nagaland,"H.No. 64
Date
Salem 805417",1.3,Smartphone,Laptop,22
Manjari Dey,1455187051,Beauty,Perfume,1.2,Poor customer service. The product was damaged on arrival.,kantivan@dugar-saraf.org,Arunachal Pradesh,"11/380
Tripathi Zila, Ballia-080637",2.2,Lipstick,Perfume,23
Taimur Dara,2852580843,Home Appliances,Air Conditioner,2.5,"The product is decent, but delivery took too long.",elakshimanda@hotmail.com,Mizoram,"83/01
Divan Road
Surendranagar Dudhrej 020712",3.5,Refrigerator,Washing Machine,100
Arnav Saha,9.15539E+11,Sports,Badminton Racket,3.1,Great value for money. Will buy again.,boranakul@dada.com,Assam,"37/05, Basu
Bongaigaon 199247",4.1,Badminton Racket,Badminton Racket,24
Tiya Kadakia,3962240117,Books,Fiction,2.7,Not as described. Disappointed with the quality.,yuvaan66@sathe.net,Punjab,"31/72
Handa Marg
Ghaziabad 444318",3,Non-fiction,Educational,86
Riya Sankar,07367588442,Electronics,Headphones,3.9,Poor customer service. The product was damaged on arrival.,mannat03@kuruvilla.com,Assam,"H.No. 221, Golla
Sagar 711926",2.7,Headphones,Tablet,2
Misha Salvi,07955776145,Clothing,Jeans,1.2,Average product. Expected better quality.,tbhavsar@malhotra.com,Mizoram,"35/12
Devi Chowk, Panihati-112561",4,T-shirt,Jeans,72
Reyansh Walla,9.11613E+11,Home Appliances,Refrigerator,3.8,Great value for money. Will buy again.,ramanathanfaiyaz@randhawa-dubey.com,Nagaland,"583, Gara Circle, Rourkela-825911",2.6,Air Conditioner,Refrigerator,5
Suhana Goda,9.1735E+11,Clothing,Jeans,5,Not as described. Disappointed with the quality.,roydarshit@chatterjee.info,Manipur,"482
Sehgal Nagar, Panvel 289707",3.1,T-shirt,T-shirt,7
Jayan Dugal,9.14179E+11,Books,Educational,4,Loved it! Exactly what I was looking for.,veer01@ravi-sane.com,Nagaland,"H.No. 366
Venkatesh
Surat-332572",1.4,Fiction,Comics,87
Rhea Saha,00856023679,Home Appliances,Air Conditioner,2.7,Amazing features at this price! Highly recommended.,basakdhruv@hotmail.com,Meghalaya,"H.No. 98
Mahal Marg
Sri Ganganagar-606613",2.9,Refrigerator,Washing Machine,0
Ojas Ghose,0925698802,Sports,Cricket Bat,4.1,"The product is decent, but delivery took too long.",hanskhushi@gmail.com,Nagaland,"H.No. 16
Shankar Marg
Pudukkottai 553638",2.4,Yoga Mat,Cricket Bat,12
Ishaan Dua,9.17599E+11,Sports,Yoga Mat,3.3,Poor customer service. The product was damaged on arrival.,borraarmaan@yahoo.com,Assam,"H.No. 960
Kalita Road, Tiruvottiyur-082408",2.1,Football,Yoga Mat,37
Lavanya Doctor,1626175244,Books,Educational,2.5,Loved it! Exactly what I was looking for.,balanjivin@gmail.com,Mizoram,"45/247, Bhandari Ganj, Davanagere 241940",4.2,Educational,Comics,44
Indrans Bhardwaj,3603445738,Sports,Football,4.8,Amazing features at this price! Highly recommended.,vrau@dhawan-singhal.org,Himachal Pradesh,"339
Tiwari Ganj, Kozhikode 765581",3.9,Yoga Mat,Yoga Mat,80
Vivaan Soman,1880154935,Electronics,Headphones,1.8,Amazing features at this price! Highly recommended.,rbir@gmail.com,West Bengal,"H.No. 258, Wable Marg
Bhubaneswar 973885",3.3,Headphones,Tablet,81
Ehsaan Kata,06762786566,Books,Fiction,3.4,Loved it! Exactly what I was looking for.,navyasuri@grewal.info,Tamil Nadu,"H.No. 901
Sarma Street
Aligarh-273083",2.4,Comics,Non-fiction,45
Pari Sehgal,7124422316,Beauty,Face Cream,2.9,Excellent quality! Very satisfied with the purchase.,ichaudhuri@seth-lad.org,Bihar,"68/77
Chopra Marg, Pudukkottai 119803",4.6,Foundation,Face Cream,25
Ehsaan Reddy,9.18468E+11,Home Appliances,Washing Machine,1.9,Poor customer service. The product was damaged on arrival.,zjani@gmail.com,Assam,"823
Bail Nagar, Panvel-004590",3.3,Washing Machine,Washing Machine,84
Indranil Babu,7540083569,Electronics,Laptop,2.5,Not as described. Disappointed with the quality.,akarsh23@hotmail.com,Uttar Pradesh,"38/663, Lal Ganj, Tinsukia 594849",1.5,Headphones,Smartwatch,41
Amani Mallick,02938033695,Clothing,Shoes,3.8,"The product is decent, but delivery took too long.",wmani@gola.com,Odisha,"75/92
Doctor Zila, Srikakulam 510502",2.6,Jacket,Shoes,14
Madhav Garg,9.10938E+11,Electronics,Smartwatch,3.8,Amazing features at this price! Highly recommended.,yakshitdesai@ratta.org,Gujarat,"325, Rajagopalan Nagar, Dibrugarh 262445",4.2,Tablet,Headphones,25
Vritika Sha,04214126373,Home Appliances,Air Conditioner,2.1,Not as described. Disappointed with the quality.,ganeshvritika@shah.net,Uttar Pradesh,"507
Dar
Phagwara-327108",3,Microwave,Refrigerator,7
Kiaan Ahluwalia,05212306766,Home Appliances,Washing Machine,3.3,Average product. Expected better quality.,divijvasa@hotmail.com,Assam,"598
Loke Ganj, Farrukhabad-064094",4.2,Microwave,Refrigerator,17
Ranbir Gandhi,9.18443E+11,Beauty,Face Cream,3.6,"The product is decent, but delivery took too long.",pihu05@gmail.com,Haryana,"584, Walia Marg, Kurnool-646856",3.5,Perfume,Foundation,46
Anahi Ben,06392294083,Home Appliances,Microwave,4.9,"The product is decent, but delivery took too long.",fshroff@koshy-bava.com,Rajasthan,"H.No. 245, Gaba Zila, Amravati 599036",1.3,Washing Machine,Washing Machine,82
Nishith Tak,06823094042,Sports,Yoga Mat,3.9,Not as described. Disappointed with the quality.,rati10@gmail.com,Meghalaya,"93/47, Dani Zila
Salem 653670",4.4,Cricket Bat,Cricket Bat,35
Zeeshan Chanda,9.15358E+11,Sports,Cricket Bat,3.2,Amazing features at this price! Highly recommended.,aarna45@sangha.com,Kerala,"92, Bhatti Chowk
Bharatpur 381578",1.4,Cricket Bat,Football,59
Adira Rana,06823849071,Clothing,T-shirt,2.1,Amazing features at this price! Highly recommended.,emir36@sarna-karan.com,Mizoram,"96/56, Tripathi Nagar, Agra 808087",2.7,T-shirt,Jeans,43
Myra Ravi,07180724818,Books,Non-fiction,4.3,Great value for money. Will buy again.,damini39@yahoo.com,Sikkim,"46/786
Joshi Path, New Delhi 229293",2.3,Non-fiction,Educational,42
Renee Reddy,9.15397E+11,Clothing,Shoes,3.3,Average product. Expected better quality.,kiara89@yohannan-trivedi.net,Kerala,"H.No. 50
Bhatt Circle
Bihar Sharif 268673",1.8,Shoes,Jeans,6
Biju Karpe,0218549395,Beauty,Perfume,3,"The product is decent, but delivery took too long.",shayaklata@chacko.com,Madhya Pradesh,"21, Sarkar Path, Bharatpur 702649",1.9,Foundation,Perfume,41
Pihu Varma,1175362420,Books,Comics,3.8,Excellent quality! Very satisfied with the purchase.,sumercheema@zachariah.org,Gujarat,"017, Chakrabarti Chowk
Mangalore-148235",4.4,Comics,Non-fiction,1
Abram Johal,9.1118E+11,Home Appliances,Refrigerator,4.7,Loved it! Exactly what I was looking for.,sumerkarpe@yahoo.com,West Bengal,"H.No. 62
Kade Street
North Dumdum 050445",1.8,Refrigerator,Washing Machine,90
Gatik Konda,9.17905E+11,Home Appliances,Microwave,3.5,Average product. Expected better quality.,hiran68@hotmail.com,West Bengal,"H.No. 00, Kunda Road
Ujjain 879607",2.9,Microwave,Microwave,46
Ivan Rattan,03010501438,Home Appliances,Air Conditioner,3.3,"The product is decent, but delivery took too long.",matwal@lall.com,Nagaland,"79/235
Wagle Marg, Durgapur 161938",1.2,Washing Machine,Refrigerator,11
Samarth Borah,1337391428,Sports,Cricket Bat,1.5,Excellent quality! Very satisfied with the purchase.,yasminsabharwal@hotmail.com,Tripura,"80/79, Setty Zila
Chapra-153816",1.6,Cricket Bat,Football,94
Nirvi Subramanian,7337857910,Books,Comics,1.4,"Works well, but could be improved in durability.",msamra@hotmail.com,Meghalaya,"16/69
Sibal Street, Secunderabad-498637",4.7,Educational,Non-fiction,100
Devansh Rastogi,4664516677,Sports,Badminton Racket,2.9,Great value for money. Will buy again.,pihu38@gmail.com,Haryana,"830, Wali Ganj, Tiruvottiyur-589564",3.5,Cricket Bat,Cricket Bat,25
Ira Jani,9.18057E+11,Clothing,T-shirt,4.4,Not as described. Disappointed with the quality.,kiaansoman@gokhale.org,Kerala,"75/080, Salvi Nagar
Delhi-210019",2,Jeans,T-shirt,48
Tushar Khanna,3494812046,Books,Fiction,2.3,Superb performance! Exceeded my expectations.,srivastavabhavin@dara.biz,Uttarakhand,"H.No. 807
Kapur Street, Warangal 859304",3.8,Non-fiction,Non-fiction,78
Nehmat Srinivas,00125981355,Sports,Cricket Bat,4.9,Excellent quality! Very satisfied with the purchase.,saanvibora@gmail.com,Uttar Pradesh,"H.No. 609
Dada Circle
Durg-782099",3.3,Cricket Bat,Football,96
Emir Hans,4049845354,Sports,Football,3.6,Not as described. Disappointed with the quality.,nayantarasarkar@yahoo.com,West Bengal,"H.No. 62, Venkatesh Road
Gandhidham-104471",3.2,Cricket Bat,Football,30
Jayesh Sundaram,06304585936,Clothing,Saree,3.3,Not as described. Disappointed with the quality.,aniruddh78@shenoy.org,Telangana,"524, Badami Ganj, Nadiad-087015",2.9,Jeans,Saree,21
Madhup Balay,6049731828,Beauty,Foundation,1.1,Excellent quality! Very satisfied with the purchase.,pranay07@gola.info,Odisha,"01, Sridhar Path
Bokaro 035813",4.5,Lipstick,Face Cream,52
Jiya Bir,9.19419E+11,Home Appliances,Air Conditioner,1.1,"The product is decent, but delivery took too long.",jayeshborra@hotmail.com,Odisha,"H.No. 341, Char Marg, Latur-816699",2.5,Washing Machine,Refrigerator,46
Pihu Hegde,9.17482E+11,Beauty,Foundation,1.9,Average product. Expected better quality.,ftoor@yahoo.com,Uttar Pradesh,"450
Bhandari Ganj, Shahjahanpur-307663",3.6,Foundation,Foundation,80
Anvi Golla,3411678942,Books,Fiction,2.4,Not as described. Disappointed with the quality.,bainsparinaaz@kulkarni-khurana.com,Odisha,"H.No. 38
Banerjee
Saharsa-466325",2.2,Educational,Non-fiction,43
Renee Mallick,02376772333,Beauty,Perfume,4.1,Amazing features at this price! Highly recommended.,ddasgupta@sekhon.com,Madhya Pradesh,"95/83
Lad Ganj, Bidhannagar 765299",4.9,Face Cream,Foundation,46
Mamooty Brar,9.13489E+11,Electronics,Smartphone,4,Poor customer service. The product was damaged on arrival.,azad34@yahoo.com,Nagaland,"H.No. 316
Sankaran
Sagar-813151",1.8,Smartwatch,Smartphone,15
Anvi Kade,06187591981,Clothing,Jeans,1.1,Excellent quality! Very satisfied with the purchase.,xshankar@chandran-sarin.info,Haryana,"54/39, Sharma Zila, Kollam-469725",3.1,Saree,Saree,74
Samiha Yadav,03144700471,Electronics,Tablet,3.2,Excellent quality! Very satisfied with the purchase.,sagardivit@gmail.com,Tamil Nadu,"10
Sood Road
Aurangabad 877373",4.5,Smartwatch,Smartphone,87
Uthkarsh Verma,06177916340,Home Appliances,Refrigerator,2.8,Superb performance! Exceeded my expectations.,myrakohli@kari-krish.biz,Nagaland,"38/384
Borde Circle, Sonipat-652028",1.8,Microwave,Washing Machine,24
Riaan Kalla,04644366315,Electronics,Smartwatch,3.1,Excellent quality! Very satisfied with the purchase.,fsavant@sharaf.info,Goa,"617
Sur Zila
Ranchi-150377",3.8,Smartwatch,Smartwatch,96
Kashvi Vaidya,9.19361E+11,Beauty,Face Cream,2.5,Excellent quality! Very satisfied with the purchase.,fbadami@hotmail.com,Himachal Pradesh,"268, Ahluwalia Road
Nandyal 831176",3.8,Foundation,Face Cream,56
Samar Batra,0795328971,Home Appliances,Microwave,3.2,Superb performance! Exceeded my expectations.,gghose@balan-issac.com,Mizoram,"18/927, Kurian Chowk
Udaipur-087276",3,Washing Machine,Microwave,55
Fateh Malhotra,9.17109E+11,Home Appliances,Microwave,1.1,"The product is decent, but delivery took too long.",indrajit55@sani.info,Mizoram,"754, Ratti Road, Secunderabad-179657",1.3,Refrigerator,Microwave,97
Jiya Thakur,7479631319,Home Appliances,Microwave,3.1,Great value for money. Will buy again.,kavyaramachandran@saha.org,Uttar Pradesh,"21
Keer Zila
Gurgaon-805745",2.9,Air Conditioner,Refrigerator,61
Parinaaz Sanghvi,04867012119,Clothing,Jacket,3.4,Loved it! Exactly what I was looking for.,zachariahaarav@hotmail.com,Arunachal Pradesh,"H.No. 06, Manne Street, Kulti 484343",3.8,T-shirt,Shoes,82
