Name,Email,Number,Most Bought,Most Searched,Churning,Review of Product
Alice,alice300@gmail.com,+13984336173,Phone,Wireless headphones,No,Best purchase ever!
Sophia,sophia301@hotmail.com,+19079097089,Phone,Gaming laptop,No,"Defective piece, had to return."
Charlie,charlie302@gmail.com,+12138802743,Headphones,Gaming laptop,Yes,"Average quality, expected better."
Bob,bob303@yahoo.com,+18388119517,Headphones,Gaming laptop,Yes,"Defective piece, had to return."
Charlie,charlie304@outlook.com,+19344252099,Bag,Wireless headphones,Yes,"Works perfectly, will buy again."
Liam,liam305@hotmail.com,+17522209956,Laptop,Running shoes,Yes,Great value for money!
Charlie,charlie306@outlook.com,+18765895095,Laptop,Best phone,Yes,"Good quality, but delivery was slow."
Alice,alice307@gmail.com,+18230032834,Laptop,Running shoes,No,"Excellent product, highly recommend!"
Charlie,charlie308@outlook.com,+18614866466,Shoes,Wireless headphones,No,"Good quality, but delivery was slow."
Liam,liam309@gmail.com,+19048189609,Phone,Gaming laptop,No,Best purchase ever!
Charlie,charlie310@yahoo.com,+15887887051,Phone,Gaming laptop,No,Not worth the price.
Alice,alice311@outlook.com,+18334705428,Phone,Smartwatch,Yes,"Good quality, but delivery was slow."
Noah,noah312@hotmail.com,+11172628638,Bag,Smartwatch,Yes,"Average quality, expected better."
Sophia,sophia313@gmail.com,+18835816243,Watch,Wireless headphones,Yes,"Works perfectly, will buy again."
Alice,alice314@gmail.com,+14303197829,Watch,Running shoes,Yes,"Works perfectly, will buy again."
David,david315@gmail.com,+18777161341,Shoes,Wireless headphones,No,"Defective piece, had to return."
David,david316@hotmail.com,+17363887006,Headphones,Wireless headphones,No,"Average quality, expected better."
Charlie,charlie317@yahoo.com,+18025499289,Phone,Gaming laptop,No,"Defective piece, had to return."
Sophia,sophia318@gmail.com,+12105804355,Watch,Running shoes,Yes,"Good quality, but delivery was slow."
Alice,alice319@hotmail.com,+15610380022,Laptop,Running shoes,Yes,"Good quality, but delivery was slow."
Sophia,sophia320@hotmail.com,+14161891463,Laptop,Gaming laptop,Yes,"Average quality, expected better."
Charlie,charlie321@gmail.com,+11382864831,Bag,Gaming laptop,Yes,Not worth the price.
Alice,alice322@outlook.com,+13398121942,Headphones,Gaming laptop,Yes,Not worth the price.
Emma,emma323@hotmail.com,+15067006267,Bag,Running shoes,No,"Average quality, expected better."
Noah,noah324@hotmail.com,+17539363401,Phone,Wireless headphones,No,"Excellent product, highly recommend!"
Liam,liam325@hotmail.com,+19103342983,Laptop,Running shoes,Yes,Great value for money!
Liam,liam326@outlook.com,+16478447564,Watch,Gaming laptop,No,Best purchase ever!
Bob,bob327@gmail.com,+16386142798,Laptop,Best phone,Yes,Great value for money!
Noah,noah328@gmail.com,+18589049051,Laptop,Gaming laptop,Yes,"Excellent product, highly recommend!"
Sophia,sophia329@hotmail.com,+12893863932,Bag,Wireless headphones,Yes,Great value for money!
Emma,emma330@outlook.com,+18109745621,Laptop,Wireless headphones,Yes,"Excellent product, highly recommend!"
Alice,alice331@hotmail.com,+16870920589,Watch,Gaming laptop,No,"Average quality, expected better."
David,david332@yahoo.com,+11898104524,Phone,Smartwatch,No,"Excellent product, highly recommend!"
Emma,emma333@outlook.com,+16719072970,Shoes,Best phone,No,"Excellent product, highly recommend!"
Emma,emma334@yahoo.com,+14692820235,Bag,Running shoes,Yes,Not worth the price.
Alice,alice335@gmail.com,+13997420501,Shoes,Wireless headphones,Yes,"Good quality, but delivery was slow."
Emma,emma336@gmail.com,+13098598659,Phone,Wireless headphones,Yes,"Works perfectly, will buy again."
Charlie,charlie337@hotmail.com,+19527149294,Shoes,Gaming laptop,Yes,"Excellent product, highly recommend!"
Noah,noah338@hotmail.com,+14376193943,Bag,Wireless headphones,No,"Defective piece, had to return."
Bob,bob339@gmail.com,+13716684062,Shoes,Best phone,Yes,"Good quality, but delivery was slow."
Liam,liam340@outlook.com,+12632395782,Shoes,Running shoes,No,"Defective piece, had to return."
Emma,emma341@gmail.com,+18244133377,Phone,Best phone,No,Not worth the price.
Alice,alice342@yahoo.com,+15730412239,Laptop,Smartwatch,No,"Works perfectly, will buy again."
Charlie,charlie343@outlook.com,+16792217931,Watch,Best phone,No,"Good quality, but delivery was slow."
Noah,noah344@outlook.com,+13281894454,Shoes,Running shoes,No,Not worth the price.
Charlie,charlie345@gmail.com,+11351226531,Shoes,Gaming laptop,Yes,Great value for money!
Bob,bob346@outlook.com,+12480172145,Laptop,Gaming laptop,Yes,"Average quality, expected better."
Liam,liam347@yahoo.com,+11507824101,Bag,Smartwatch,Yes,"Defective piece, had to return."
Emma,emma348@gmail.com,+17643670788,Watch,Gaming laptop,No,"Average quality, expected better."
Sophia,sophia349@hotmail.com,+16178519695,Bag,Wireless headphones,Yes,"Defective piece, had to return."
Bob,bob350@outlook.com,+16982217933,Watch,Wireless headphones,Yes,"Works perfectly, will buy again."
Liam,liam351@outlook.com,+17263158012,Shoes,Gaming laptop,No,"Defective piece, had to return."
Bob,bob352@hotmail.com,+13142196090,Headphones,Running shoes,Yes,Not worth the price.
Bob,bob353@hotmail.com,+12990702600,Phone,Gaming laptop,No,Not worth the price.
David,david354@yahoo.com,+11241413763,Shoes,Gaming laptop,Yes,"Average quality, expected better."
Sophia,sophia355@hotmail.com,+13029082242,Headphones,Best phone,No,"Average quality, expected better."
Bob,bob356@outlook.com,+11790626016,Watch,Wireless headphones,Yes,"Works perfectly, will buy again."
Noah,noah357@outlook.com,+17775030696,Phone,Gaming laptop,Yes,"Average quality, expected better."
Emma,emma358@hotmail.com,+18772098496,Shoes,Wireless headphones,No,Best purchase ever!
Charlie,charlie359@yahoo.com,+16921676745,Watch,Best phone,No,"Average quality, expected better."
Emma,emma360@outlook.com,+14198427816,Watch,Gaming laptop,Yes,Not worth the price.
Liam,liam361@gmail.com,+12509512215,Phone,Wireless headphones,No,"Works perfectly, will buy again."
Sophia,sophia362@hotmail.com,+19268378275,Phone,Wireless headphones,Yes,"Works perfectly, will buy again."
David,david363@outlook.com,+11821037211,Laptop,Best phone,Yes,"Average quality, expected better."
Sophia,sophia364@hotmail.com,+13751161676,Phone,Best phone,Yes,"Average quality, expected better."
Liam,liam365@hotmail.com,+12435022914,Phone,Gaming laptop,No,"Defective piece, had to return."
Alice,alice366@yahoo.com,+11172603872,Phone,Running shoes,No,"Good quality, but delivery was slow."
Noah,noah367@outlook.com,+16565782443,Laptop,Best phone,No,"Average quality, expected better."
Liam,liam368@outlook.com,+13476108258,Watch,Smartwatch,No,Not worth the price.
Noah,noah369@outlook.com,+15042793093,Shoes,Wireless headphones,No,Great value for money!
Noah,noah370@gmail.com,+12454915961,Laptop,Smartwatch,No,"Good quality, but delivery was slow."
Charlie,charlie371@outlook.com,+12302863897,Laptop,Wireless headphones,Yes,"Average quality, expected better."
Sophia,sophia372@outlook.com,+12338029166,Watch,Running shoes,No,"Defective piece, had to return."
Noah,noah373@gmail.com,+11885636548,Phone,Gaming laptop,No,"Excellent product, highly recommend!"
Bob,bob374@gmail.com,+18678981155,Headphones,Gaming laptop,No,Not worth the price.
David,david375@outlook.com,+17647504127,Laptop,Gaming laptop,Yes,Best purchase ever!
Charlie,charlie376@outlook.com,+11567288852,Bag,Smartwatch,No,Great value for money!
Sophia,sophia377@hotmail.com,+17633863771,Shoes,Best phone,Yes,Best purchase ever!
David,david378@gmail.com,+11052456773,Watch,Smartwatch,No,"Average quality, expected better."
David,david379@gmail.com,+12613604101,Bag,Best phone,Yes,"Works perfectly, will buy again."
Liam,liam380@yahoo.com,+16035199026,Laptop,Running shoes,Yes,"Excellent product, highly recommend!"
Sophia,sophia381@yahoo.com,+12920368425,Watch,Running shoes,No,Great value for money!
David,david382@gmail.com,+11199898667,Laptop,Gaming laptop,No,Not worth the price.
Noah,noah383@gmail.com,+11531746452,Phone,Wireless headphones,Yes,"Average quality, expected better."
David,david384@yahoo.com,+14604170261,Headphones,Best phone,Yes,"Average quality, expected better."
Bob,bob385@outlook.com,+11155360255,Phone,Wireless headphones,Yes,"Good quality, but delivery was slow."
Liam,liam386@hotmail.com,+16863978181,Laptop,Running shoes,No,"Works perfectly, will buy again."
Noah,noah387@outlook.com,+16974490941,Shoes,Gaming laptop,No,Not worth the price.
Alice,alice388@outlook.com,+16834279751,Watch,Best phone,No,"Good quality, but delivery was slow."
Charlie,charlie389@outlook.com,+19718444676,Laptop,Best phone,Yes,Best purchase ever!
Noah,noah390@hotmail.com,+17781110778,Bag,Running shoes,No,"Works perfectly, will buy again."
Noah,noah391@yahoo.com,+12888392820,Watch,Gaming laptop,No,Not worth the price.
Liam,liam392@yahoo.com,+17891633411,Bag,Running shoes,Yes,Best purchase ever!
Alice,alice393@hotmail.com,+18726141125,Phone,Running shoes,Yes,"Excellent product, highly recommend!"
Liam,liam394@hotmail.com,+17686172788,Shoes,Gaming laptop,Yes,"Excellent product, highly recommend!"
Emma,emma395@gmail.com,+14863541577,Phone,Running shoes,Yes,Great value for money!
Emma,emma396@hotmail.com,+12095298648,Laptop,Running shoes,Yes,"Good quality, but delivery was slow."
Noah,noah397@outlook.com,+17025376757,Phone,Wireless headphones,No,"Defective piece, had to return."
Sophia,sophia398@outlook.com,+13301986909,Headphones,Gaming laptop,Yes,Best purchase ever!
Sophia,sophia399@gmail.com,+18528352218,Watch,Wireless headphones,No,Not worth the price.
Alice,alice400@hotmail.com,+19355841493,Watch,Best phone,No,"Average quality, expected better."
Sophia,sophia401@yahoo.com,+15194339910,Bag,Gaming laptop,Yes,"Works perfectly, will buy again."
Liam,liam402@hotmail.com,+18959114415,Headphones,Wireless headphones,Yes,"Good quality, but delivery was slow."
Charlie,charlie403@hotmail.com,+19133811199,Laptop,Running shoes,Yes,Great value for money!
Bob,bob404@outlook.com,+14333529540,Phone,Smartwatch,No,"Average quality, expected better."
Emma,emma405@yahoo.com,+16454625465,Shoes,Wireless headphones,Yes,"Defective piece, had to return."
David,david406@outlook.com,+16419950319,Watch,Running shoes,Yes,Great value for money!
Liam,liam407@hotmail.com,+12040025066,Watch,Running shoes,No,Great value for money!
Emma,emma408@hotmail.com,+13707874871,Headphones,Smartwatch,No,Best purchase ever!
Liam,liam409@gmail.com,+15396672218,Shoes,Smartwatch,No,"Average quality, expected better."
Sophia,sophia410@gmail.com,+13236686757,Bag,Smartwatch,Yes,"Good quality, but delivery was slow."
Emma,emma411@gmail.com,+11579385723,Watch,Wireless headphones,No,Great value for money!
Noah,noah412@yahoo.com,+12371510358,Headphones,Best phone,No,"Defective piece, had to return."
David,david413@hotmail.com,+15709962604,Phone,Gaming laptop,No,Great value for money!
Sophia,sophia414@yahoo.com,+18948485432,Bag,Best phone,No,Great value for money!
Alice,alice415@gmail.com,+17737912429,Phone,Best phone,Yes,"Average quality, expected better."
Sophia,sophia416@hotmail.com,+18030162626,Phone,Gaming laptop,Yes,Great value for money!
Bob,bob417@gmail.com,+17327712765,Watch,Wireless headphones,No,"Good quality, but delivery was slow."
Bob,bob418@yahoo.com,+12900494170,Bag,Best phone,No,"Good quality, but delivery was slow."
Emma,emma419@outlook.com,+19051424439,Shoes,Best phone,No,"Defective piece, had to return."
Liam,liam420@yahoo.com,+19781092519,Shoes,Best phone,Yes,Great value for money!
Sophia,sophia421@hotmail.com,+12979299392,Laptop,Best phone,No,"Average quality, expected better."
David,david422@gmail.com,+17593800438,Headphones,Wireless headphones,Yes,Great value for money!
Sophia,sophia423@outlook.com,+14239056130,Bag,Smartwatch,No,"Excellent product, highly recommend!"
Liam,liam424@gmail.com,+18602114454,Watch,Gaming laptop,No,"Defective piece, had to return."
Alice,alice425@gmail.com,+12333812788,Headphones,Running shoes,Yes,"Excellent product, highly recommend!"
Liam,liam426@gmail.com,+13774493616,Bag,Gaming laptop,Yes,Best purchase ever!
Alice,alice427@outlook.com,+12533062456,Headphones,Gaming laptop,Yes,"Excellent product, highly recommend!"
David,david428@outlook.com,+12832871465,Phone,Running shoes,Yes,Great value for money!
Sophia,sophia429@outlook.com,+19032228706,Watch,Wireless headphones,Yes,"Average quality, expected better."
Sophia,sophia430@yahoo.com,+12974809782,Phone,Smartwatch,Yes,Best purchase ever!
Bob,bob431@outlook.com,+15807708442,Watch,Gaming laptop,No,"Good quality, but delivery was slow."
David,david432@yahoo.com,+16061913493,Phone,Gaming laptop,No,Not worth the price.
Noah,noah433@hotmail.com,+18178155551,Shoes,Best phone,Yes,"Defective piece, had to return."
Noah,noah434@hotmail.com,+17581315603,Headphones,Wireless headphones,Yes,"Works perfectly, will buy again."
Emma,emma435@hotmail.com,+16253616937,Headphones,Wireless headphones,Yes,"Average quality, expected better."
David,david436@gmail.com,+15911352497,Phone,Wireless headphones,Yes,"Excellent product, highly recommend!"
Sophia,sophia437@yahoo.com,+14036850188,Watch,Wireless headphones,No,"Good quality, but delivery was slow."
Emma,emma438@yahoo.com,+15581053479,Phone,Gaming laptop,No,"Defective piece, had to return."
Emma,emma439@gmail.com,+11289156264,Phone,Best phone,No,Not worth the price.
Charlie,charlie440@outlook.com,+16190360402,Laptop,Smartwatch,Yes,"Excellent product, highly recommend!"
Bob,bob441@gmail.com,+13413769906,Phone,Gaming laptop,No,Best purchase ever!
Liam,liam442@gmail.com,+18869719796,Phone,Wireless headphones,No,"Average quality, expected better."
Noah,noah443@yahoo.com,+18791823527,Watch,Gaming laptop,No,Not worth the price.
Bob,bob444@yahoo.com,+19231313913,Phone,Smartwatch,No,"Excellent product, highly recommend!"
Emma,emma445@hotmail.com,+17015375934,Laptop,Wireless headphones,No,"Excellent product, highly recommend!"
David,david446@hotmail.com,+17138734572,Headphones,Smartwatch,Yes,"Excellent product, highly recommend!"
Charlie,charlie447@hotmail.com,+17053671620,Bag,Best phone,Yes,"Excellent product, highly recommend!"
Noah,noah448@hotmail.com,+19677073826,Shoes,Wireless headphones,No,"Good quality, but delivery was slow."
Liam,liam449@hotmail.com,+11024923105,Laptop,Gaming laptop,No,Not worth the price.
Alice,alice450@outlook.com,+14063221074,Headphones,Best phone,No,"Good quality, but delivery was slow."
Alice,alice451@yahoo.com,+14793555859,Headphones,Running shoes,No,Not worth the price.
Noah,noah452@outlook.com,+11282802308,Bag,Smartwatch,Yes,"Defective piece, had to return."
David,david453@gmail.com,+15934395590,Headphones,Wireless headphones,Yes,"Defective piece, had to return."
Charlie,charlie454@hotmail.com,+16560366949,Phone,Gaming laptop,Yes,"Defective piece, had to return."
David,david455@gmail.com,+12850752758,Bag,Gaming laptop,Yes,"Defective piece, had to return."
Bob,bob456@gmail.com,+17749435465,Headphones,Running shoes,No,Great value for money!
Sophia,sophia457@yahoo.com,+16686722626,Watch,Wireless headphones,No,"Excellent product, highly recommend!"
Alice,alice458@yahoo.com,+13214721596,Laptop,Smartwatch,Yes,"Works perfectly, will buy again."
Liam,liam459@gmail.com,+16910009870,Headphones,Wireless headphones,Yes,Best purchase ever!
Charlie,charlie460@gmail.com,+11536479488,Shoes,Best phone,No,"Excellent product, highly recommend!"
Sophia,sophia461@gmail.com,+13455644532,Bag,Best phone,Yes,Not worth the price.
Liam,liam462@gmail.com,+11567539263,Shoes,Gaming laptop,No,Not worth the price.
Sophia,sophia463@gmail.com,+12677303998,Bag,Running shoes,Yes,Great value for money!
Emma,emma464@hotmail.com,+14426036617,Watch,Gaming laptop,Yes,Best purchase ever!
Charlie,charlie465@yahoo.com,+16263438719,Phone,Running shoes,No,"Works perfectly, will buy again."
Noah,noah466@yahoo.com,+13642613037,Headphones,Best phone,No,"Average quality, expected better."
Sophia,sophia467@outlook.com,+17373399771,Bag,Smartwatch,No,Not worth the price.
David,david468@hotmail.com,+11949682785,Laptop,Best phone,Yes,Not worth the price.
Emma,emma469@hotmail.com,+15190505819,Headphones,Running shoes,No,"Works perfectly, will buy again."
Charlie,charlie470@gmail.com,+12330825148,Headphones,Best phone,No,"Defective piece, had to return."
Noah,noah471@outlook.com,+13677021868,Headphones,Wireless headphones,No,"Works perfectly, will buy again."
Noah,noah472@yahoo.com,+18845945732,Shoes,Running shoes,No,Not worth the price.
Emma,emma473@yahoo.com,+11205945870,Shoes,Gaming laptop,Yes,"Good quality, but delivery was slow."
Noah,noah474@outlook.com,+12486565133,Laptop,Best phone,No,"Average quality, expected better."
Liam,liam475@hotmail.com,+19146340040,Bag,Smartwatch,Yes,"Works perfectly, will buy again."
Bob,bob476@outlook.com,+12488471968,Headphones,Running shoes,Yes,Not worth the price.
Liam,liam477@outlook.com,+12729284589,Bag,Wireless headphones,No,Great value for money!
Sophia,sophia478@gmail.com,+13312991387,Watch,Running shoes,No,"Works perfectly, will buy again."
Liam,liam479@outlook.com,+17226561313,Bag,Running shoes,No,"Excellent product, highly recommend!"
Sophia,sophia480@outlook.com,+11698332394,Shoes,Running shoes,No,"Average quality, expected better."
Sophia,sophia481@gmail.com,+13459734538,Bag,Wireless headphones,Yes,Not worth the price.
Emma,emma482@gmail.com,+17217255851,Phone,Best phone,No,"Defective piece, had to return."
Emma,emma483@hotmail.com,+17242653765,Watch,Wireless headphones,No,"Average quality, expected better."
Alice,alice484@hotmail.com,+19872523395,Laptop,Wireless headphones,No,"Works perfectly, will buy again."
Sophia,sophia485@gmail.com,+18509859722,Watch,Running shoes,No,Best purchase ever!
Noah,noah486@yahoo.com,+16579149620,Watch,Wireless headphones,Yes,Best purchase ever!
Bob,bob487@yahoo.com,+15025844808,Headphones,Smartwatch,No,"Works perfectly, will buy again."
Liam,liam488@gmail.com,+15672930863,Bag,Smartwatch,No,Great value for money!
Sophia,sophia489@gmail.com,+18729837858,Phone,Running shoes,No,"Average quality, expected better."
Bob,bob490@yahoo.com,+16744471687,Bag,Gaming laptop,Yes,Best purchase ever!
Emma,emma491@outlook.com,+15262371372,Watch,Best phone,Yes,"Excellent product, highly recommend!"
Emma,emma492@hotmail.com,+12085882042,Bag,Running shoes,Yes,Not worth the price.
Emma,emma493@yahoo.com,+14139429208,Phone,Best phone,Yes,Great value for money!
Charlie,charlie494@hotmail.com,+12945561029,Phone,Best phone,No,"Good quality, but delivery was slow."
David,david495@yahoo.com,+19946359963,Shoes,Best phone,No,"Defective piece, had to return."
Liam,liam496@gmail.com,+13675785925,Bag,Running shoes,No,"Works perfectly, will buy again."
David,david497@hotmail.com,+14278035422,Headphones,Wireless headphones,No,Best purchase ever!
Bob,bob498@yahoo.com,+13411328443,Watch,Smartwatch,No,Not worth the price.
Emma,emma499@hotmail.com,+14008944003,Watch,Wireless headphones,Yes,Great value for money!
David,david500@hotmail.com,+14826039293,Shoes,Best phone,Yes,Best purchase ever!
Bob,bob501@outlook.com,+18235082906,Shoes,Smartwatch,Yes,"Defective piece, had to return."
Sophia,sophia502@yahoo.com,+16220249582,Phone,Running shoes,Yes,"Average quality, expected better."
Alice,alice503@yahoo.com,+15805676052,Bag,Best phone,Yes,"Works perfectly, will buy again."
Sophia,sophia504@outlook.com,+17255204934,Phone,Gaming laptop,Yes,"Works perfectly, will buy again."
Charlie,charlie505@hotmail.com,+15077970717,Watch,Gaming laptop,Yes,"Excellent product, highly recommend!"
Charlie,charlie506@gmail.com,+15085960524,Shoes,Smartwatch,No,Best purchase ever!
David,david507@outlook.com,+13474256271,Watch,Running shoes,Yes,"Works perfectly, will buy again."
David,david508@gmail.com,+18122614843,Phone,Smartwatch,Yes,Not worth the price.
Sophia,sophia509@outlook.com,+12519490686,Headphones,Wireless headphones,Yes,"Defective piece, had to return."
Noah,noah510@hotmail.com,+15083992829,Bag,Running shoes,No,Not worth the price.
Charlie,charlie511@hotmail.com,+15929030872,Headphones,Best phone,Yes,Not worth the price.
Liam,liam512@yahoo.com,+11507384580,Bag,Wireless headphones,No,"Good quality, but delivery was slow."
Sophia,sophia513@yahoo.com,+17440631479,Phone,Best phone,Yes,Great value for money!
Charlie,charlie514@outlook.com,+11652657805,Phone,Best phone,Yes,"Defective piece, had to return."
Charlie,charlie515@yahoo.com,+13185321462,Laptop,Best phone,Yes,"Works perfectly, will buy again."
Charlie,charlie516@outlook.com,+16890610967,Laptop,Wireless headphones,Yes,Best purchase ever!
Alice,alice517@hotmail.com,+16151340785,Bag,Gaming laptop,No,Great value for money!
Sophia,sophia518@hotmail.com,+11447078215,Watch,Smartwatch,No,"Excellent product, highly recommend!"
David,david519@hotmail.com,+12756779497,Watch,Running shoes,Yes,"Excellent product, highly recommend!"
Sophia,sophia520@gmail.com,+19223691683,Watch,Gaming laptop,No,Not worth the price.
Noah,noah521@yahoo.com,+18901704680,Headphones,Best phone,No,"Defective piece, had to return."
David,david522@hotmail.com,+11996115650,Shoes,Smartwatch,No,Best purchase ever!
Charlie,charlie523@gmail.com,+14466696943,Watch,Smartwatch,No,"Excellent product, highly recommend!"
Bob,bob524@hotmail.com,+15266133923,Bag,Smartwatch,Yes,Not worth the price.
Noah,noah525@yahoo.com,+17594896567,Headphones,Running shoes,No,Great value for money!
Sophia,sophia526@gmail.com,+11512256580,Bag,Gaming laptop,Yes,"Good quality, but delivery was slow."
Sophia,sophia527@hotmail.com,+17016346765,Watch,Smartwatch,No,"Average quality, expected better."
Bob,bob528@outlook.com,+13489618126,Headphones,Smartwatch,No,"Average quality, expected better."
Sophia,sophia529@outlook.com,+19470966204,Headphones,Smartwatch,Yes,"Works perfectly, will buy again."
Alice,alice530@yahoo.com,+16789782449,Laptop,Smartwatch,Yes,"Good quality, but delivery was slow."
Alice,alice531@hotmail.com,+18227704717,Watch,Running shoes,Yes,"Works perfectly, will buy again."
Noah,noah532@hotmail.com,+12740126604,Shoes,Wireless headphones,No,Not worth the price.
Noah,noah533@hotmail.com,+11809043356,Shoes,Best phone,No,"Excellent product, highly recommend!"
Alice,alice534@gmail.com,+15381116350,Headphones,Wireless headphones,No,"Good quality, but delivery was slow."
Noah,noah535@yahoo.com,+17966851733,Phone,Best phone,Yes,"Good quality, but delivery was slow."
Liam,liam536@gmail.com,+17503386096,Bag,Best phone,No,"Average quality, expected better."
Noah,noah537@hotmail.com,+11687232030,Laptop,Best phone,No,Best purchase ever!
Emma,emma538@hotmail.com,+18296620455,Phone,Gaming laptop,Yes,"Good quality, but delivery was slow."
Sophia,sophia539@hotmail.com,+12571031602,Headphones,Running shoes,Yes,"Good quality, but delivery was slow."
Sophia,sophia540@yahoo.com,+19976076591,Bag,Running shoes,No,Best purchase ever!
Alice,alice541@gmail.com,+15193166480,Shoes,Wireless headphones,No,"Defective piece, had to return."
Liam,liam542@yahoo.com,+18702184403,Bag,Smartwatch,No,"Excellent product, highly recommend!"
Bob,bob543@hotmail.com,+19533868666,Shoes,Wireless headphones,No,Great value for money!
David,david544@outlook.com,+15525130795,Watch,Smartwatch,No,Great value for money!
Alice,alice545@hotmail.com,+18996028404,Phone,Gaming laptop,Yes,"Average quality, expected better."
David,david546@hotmail.com,+14395003337,Laptop,Best phone,No,"Excellent product, highly recommend!"
Bob,bob547@yahoo.com,+15156189496,Shoes,Wireless headphones,No,"Defective piece, had to return."
Liam,liam548@hotmail.com,+12043810055,Headphones,Best phone,Yes,Best purchase ever!
Alice,alice549@outlook.com,+11873201180,Bag,Best phone,No,Not worth the price.
David,david550@gmail.com,+19085753887,Bag,Best phone,No,"Works perfectly, will buy again."
Bob,bob551@yahoo.com,+11611466094,Bag,Running shoes,No,"Works perfectly, will buy again."
Alice,alice552@gmail.com,+16532023494,Headphones,Best phone,No,Not worth the price.
Charlie,charlie553@gmail.com,+16943355205,Bag,Best phone,Yes,"Average quality, expected better."
Noah,noah554@hotmail.com,+11452491108,Watch,Smartwatch,Yes,"Excellent product, highly recommend!"
Bob,bob555@gmail.com,+16231369127,Bag,Wireless headphones,No,"Defective piece, had to return."
Sophia,sophia556@yahoo.com,+19853319072,Laptop,Gaming laptop,No,Not worth the price.
Alice,alice557@yahoo.com,+19852635670,Laptop,Gaming laptop,No,"Defective piece, had to return."
Noah,noah558@hotmail.com,+18107280410,Bag,Wireless headphones,No,"Excellent product, highly recommend!"
Noah,noah559@yahoo.com,+15405989652,Phone,Best phone,No,"Works perfectly, will buy again."
Bob,bob560@hotmail.com,+15210796120,Bag,Running shoes,Yes,"Works perfectly, will buy again."
Charlie,charlie561@gmail.com,+16355796525,Bag,Smartwatch,Yes,"Average quality, expected better."
Emma,emma562@gmail.com,+18772677161,Phone,Best phone,No,"Excellent product, highly recommend!"
David,david563@outlook.com,+16186305365,Phone,Wireless headphones,Yes,"Good quality, but delivery was slow."
David,david564@yahoo.com,+11332449795,Laptop,Gaming laptop,No,"Defective piece, had to return."
Charlie,charlie565@gmail.com,+19947326092,Laptop,Best phone,No,Not worth the price.
Noah,noah566@hotmail.com,+14438410891,Headphones,Best phone,No,"Works perfectly, will buy again."
David,david567@gmail.com,+13550210040,Watch,Smartwatch,No,"Works perfectly, will buy again."
Bob,bob568@gmail.com,+18632120106,Phone,Wireless headphones,No,"Defective piece, had to return."
David,david569@yahoo.com,+13859218142,Shoes,Gaming laptop,No,"Average quality, expected better."
Charlie,charlie570@hotmail.com,+16398170648,Laptop,Running shoes,No,"Good quality, but delivery was slow."
Noah,noah571@gmail.com,+13439100479,Laptop,Smartwatch,No,"Defective piece, had to return."
Noah,noah572@outlook.com,+17175127730,Headphones,Wireless headphones,No,"Works perfectly, will buy again."
Emma,emma573@yahoo.com,+13321354874,Watch,Gaming laptop,No,Best purchase ever!
Liam,liam574@outlook.com,+12192804729,Headphones,Running shoes,No,Best purchase ever!
Noah,noah575@hotmail.com,+15656473998,Bag,Running shoes,Yes,"Works perfectly, will buy again."
Sophia,sophia576@yahoo.com,+19790278433,Shoes,Gaming laptop,Yes,"Excellent product, highly recommend!"
David,david577@gmail.com,+16082154590,Shoes,Running shoes,No,"Average quality, expected better."
Liam,liam578@gmail.com,+18675193138,Watch,Best phone,No,"Average quality, expected better."
Emma,emma579@gmail.com,+13097121818,Laptop,Gaming laptop,No,"Works perfectly, will buy again."
Charlie,charlie580@outlook.com,+15146083745,Watch,Smartwatch,Yes,"Works perfectly, will buy again."
Charlie,charlie581@gmail.com,+11487169739,Watch,Gaming laptop,Yes,Best purchase ever!
Noah,noah582@gmail.com,+16267643861,Watch,Smartwatch,No,"Defective piece, had to return."
Bob,bob583@outlook.com,+18558344322,Watch,Wireless headphones,No,"Excellent product, highly recommend!"
Noah,noah584@hotmail.com,+16458960751,Laptop,Wireless headphones,Yes,"Excellent product, highly recommend!"
Charlie,charlie585@outlook.com,+11331313249,Shoes,Best phone,No,"Defective piece, had to return."
David,david586@outlook.com,+17192499449,Bag,Gaming laptop,Yes,Great value for money!
Emma,emma587@outlook.com,+18313222569,Laptop,Smartwatch,No,"Excellent product, highly recommend!"
Liam,liam588@outlook.com,+19075022299,Shoes,Running shoes,No,"Average quality, expected better."
Liam,liam589@outlook.com,+12869344619,Laptop,Gaming laptop,Yes,"Average quality, expected better."
Noah,noah590@outlook.com,+18809249913,Phone,Best phone,No,"Defective piece, had to return."
Alice,alice591@yahoo.com,+15652973123,Bag,Best phone,Yes,Great value for money!
Noah,noah592@hotmail.com,+11350003536,Headphones,Running shoes,No,"Good quality, but delivery was slow."
David,david593@gmail.com,+15531588290,Watch,Running shoes,No,Best purchase ever!
Charlie,charlie594@hotmail.com,+17087087067,Headphones,Best phone,Yes,"Works perfectly, will buy again."
Noah,noah595@gmail.com,+19375561524,Headphones,Running shoes,No,"Works perfectly, will buy again."
Charlie,charlie596@yahoo.com,+15527212210,Shoes,Best phone,Yes,"Excellent product, highly recommend!"
Sophia,sophia597@outlook.com,+19405129177,Laptop,Running shoes,Yes,Best purchase ever!
Bob,bob598@hotmail.com,+18105242415,Phone,Gaming laptop,Yes,Best purchase ever!
Noah,noah599@gmail.com,+13077930503,Phone,Smartwatch,No,Best purchase ever!
Charlie,charlie600@gmail.com,+14404913669,Headphones,Wireless headphones,Yes,"Excellent product, highly recommend!"
